region,week,competitor_discount_active,competitor_discount_percentage,competitor_new_product_launch
Africa,2010-12-27,0,0,0
Africa,2011-01-31,1,0,0
Africa,2011-02-28,1,0,0
Africa,2011-03-28,1,20,0
Africa,2011-04-25,0,0,0
Africa,2011-05-30,0,0,0
Africa,2011-06-27,1,30,0
Africa,2011-08-01,0,0,0
Africa,2011-08-29,0,0,0
Africa,2011-09-26,0,0,0
Africa,2011-10-31,0,0,0
Africa,2011-11-28,0,0,0
Africa,1900-01-01,0,0,0
Africa,2011-05-02,0,0,0
Africa,2011-01-03,1,0,1
Africa,2011-10-03,1,10,0
Africa,2011-04-04,1,10,1
Africa,2011-07-04,0,0,0
Africa,2011-09-05,1,30,0
Africa,2011-12-05,0,0,0
Africa,2011-06-06,0,0,0
Africa,2011-02-07,1,10,1
Africa,2011-11-07,0,0,0
Africa,2011-03-07,0,0,0
Africa,2011-08-08,0,0,0
Africa,2011-05-09,1,20,0
Africa,2011-01-10,0,0,0
Africa,2011-10-10,1,10,1
Africa,2011-04-11,1,30,0
Africa,2011-07-11,1,20,0
Africa,2011-09-12,0,0,0
Africa,2011-12-12,0,0,0
Africa,2012-01-30,0,0,0
Africa,2012-02-27,1,30,1
Africa,2012-03-26,0,0,0
Africa,2012-04-30,1,30,0
Africa,2012-05-28,0,0,0
Africa,2012-06-25,0,0,0
Africa,2012-07-30,0,0,1
Africa,2012-08-27,0,0,1
Africa,2012-10-01,0,0,0
Africa,2012-10-29,1,30,0
Africa,2012-11-26,0,0,0
Africa,2012-01-02,1,10,0
Africa,2012-04-02,0,0,0
Africa,2012-07-02,0,0,1
Africa,2012-09-03,0,0,0
Africa,2012-12-03,0,0,0
Africa,2012-06-04,0,0,1
Africa,2012-03-05,0,0,0
Africa,2012-11-05,0,0,0
Africa,2012-02-06,1,30,0
Africa,2012-08-06,1,30,1
Africa,2012-05-07,0,0,0
Africa,2012-10-08,0,0,0
Africa,2012-01-09,0,0,0
Africa,2012-04-09,0,0,0
Africa,2012-07-09,0,0,0
Africa,2012-09-10,0,0,1
Africa,2012-12-10,1,10,0
Africa,2012-06-11,0,0,0
Africa,2012-03-12,0,0,0
Africa,2012-11-12,1,30,0
Africa,2012-12-31,0,0,0
Africa,2013-01-28,0,0,0
Africa,2013-02-25,0,0,0
Africa,2013-04-01,1,10,0
Africa,2013-04-29,0,0,0
Africa,2013-05-27,0,0,0
Africa,2013-07-01,0,0,0
Africa,2013-07-29,0,0,0
Africa,2013-08-26,0,0,0
Africa,2013-09-30,0,0,0
Africa,2013-10-28,1,0,0
Africa,2013-11-25,1,30,0
Africa,2013-09-02,0,0,0
Africa,2013-12-02,0,0,0
Africa,2013-06-03,0,0,0
Africa,2013-02-04,1,20,0
Africa,2013-03-04,0,0,0
Africa,2013-11-04,0,0,0
Africa,2013-08-05,0,0,0
Africa,2013-05-06,0,0,0
Africa,2013-01-07,0,0,0
Africa,2013-10-07,1,10,0
