region,week,holiday_flag,holiday_name,weather_condition,temperature,economic_index
Africa,2010-12-27,0,None,Storm,9,1.3796735521072745
Africa,2011-01-31,0,None,Cold,5,0.7910398775640334
Africa,2011-02-28,0,None,Sunny,15,1.496550005310358
Africa,2011-03-28,0,None,Cold,12,1.1370058637081564
Africa,2011-04-25,0,None,Sunny,16,1.0049148974917486
Africa,2011-05-30,0,None,Rainy,29,1.279434214642752
Africa,2011-06-27,0,None,Cold,26,0.6933350683464824
Africa,2011-08-01,0,None,Cold,28,1.4015844524948968
Africa,2011-08-29,0,None,Storm,17,0.5681586294219232
Africa,2011-09-26,0,None,Hot,29,1.4312209825096431
Africa,2011-10-31,0,None,Sunny,29,0.6030249745894058
Africa,2011-11-28,0,None,Hot,31,0.6628782445704748
Africa,1900-01-01,0,None,Hot,18,1.1185795825501414
Africa,2011-05-02,1,Labor Day,Sunny,10,1.1167690802728825
Africa,2011-01-03,0,None,Hot,13,0.5973724036850813
Africa,2011-10-03,0,None,Hot,8,0.9772592363726842
Africa,2011-04-04,1,Christmas,Sunny,1,0.6666026131565557
Africa,2011-07-04,0,None,Storm,5,0.952031828865206
Africa,2011-09-05,1,None,Sunny,26,0.8244807385990912
Africa,2011-12-05,0,None,Hot,4,0.7315192349397567
Africa,2011-06-06,0,None,Hot,23,1.0518596801238504
Africa,2011-02-07,0,None,Rainy,19,1.3436067283172086
Africa,2011-11-07,1,None,Cold,21,1.228419887139439
Africa,2011-03-07,0,None,Cold,28,0.7367956929477336
Africa,2011-08-08,0,None,Hot,5,0.7448679085793477
Africa,2011-05-09,1,Christmas,Hot,21,0.7261454596550453
Africa,2011-01-10,1,None,Sunny,8,1.4611888263073616
Africa,2011-10-10,0,None,Cold,34,0.645264072504694
Africa,2011-04-11,0,None,Storm,31,0.7426818683264962
Africa,2011-07-11,1,Labor Day,Hot,37,1.1553213851554986
Africa,2011-09-12,0,None,Rainy,2,0.6000751119660401
Africa,2011-12-12,0,None,Sunny,32,0.5126497930071336
Africa,2012-01-30,0,None,Storm,15,0.9108819053546384
Africa,2012-02-27,0,None,Rainy,34,1.3920002046800737
Africa,2012-03-26,1,Labor Day,Sunny,26,0.7593090259429135
