region,week,avg_shipping_delay_days,logistics_issue_flag,issue_reason,delivery_success_rate
Africa,2010-12-27,3,0,Weather,0.9693594627610792
Africa,2011-01-31,4,1,None,0.8607252091045019
Africa,2011-02-28,3,1,Traffic,0.867431874638132
Africa,2011-03-28,2,0,Weather,0.8039553729581079
Africa,2011-04-25,0,0,Weather,0.9799058263185397
Africa,2011-05-30,0,0,Traffic,0.8982090618826494
Africa,2011-06-27,4,0,Strike,0.8424796093646464
Africa,2011-08-01,3,0,Weather,0.9646119636035395
Africa,2011-08-29,4,0,Traffic,0.9763537288197397
Africa,2011-09-26,1,0,Weather,0.9003940146061121
Africa,2011-10-31,1,1,Strike,0.849057992560418
Africa,2011-11-28,1,1,Traffic,0.9433675016083543
Africa,1900-01-01,2,0,None,0.8541943295119248
Africa,2011-05-02,2,0,Strike,0.9987842882273835
Africa,2011-01-03,1,0,None,0.9581468132733716
Africa,2011-10-03,0,0,Traffic,0.8831391948952122
Africa,2011-04-04,0,0,None,0.9476113786361093
Africa,2011-07-04,2,0,Strike,0.8725176460211341
Africa,2011-09-05,0,0,None,0.9783176697343121
Africa,2011-12-05,1,0,Weather,0.9012814463139261
Africa,2011-06-06,1,0,None,0.8032875390379638
Africa,2011-02-07,4,0,Weather,0.8999644347503714
Africa,2011-11-07,1,0,Strike,0.8833920313257095
Africa,2011-03-07,3,0,Weather,0.9602556985103167
Africa,2011-08-08,3,1,Strike,0.8476666711184211
Africa,2011-05-09,1,0,Weather,0.8336501491515094
Africa,2011-01-10,1,1,Traffic,0.849446616896816
Africa,2011-10-10,3,0,Traffic,0.8625108680803716
Africa,2011-04-11,1,1,None,0.8199885861334586
Africa,2011-07-11,1,1,Weather,0.818004969490977
Africa,2011-09-12,0,0,Weather,0.8327191075819176
Africa,2011-12-12,4,0,Weather,0.9356696467035552
Africa,2012-01-30,3,0,Strike,0.8800740634472172
Africa,2012-02-27,0,0,Traffic,0.9252736827436755
Africa,2012-03-26,0,0,None,0.8731447882882679
Africa,2012-04-30,2,0,Traffic,0.8671586244754872
Africa,2012-05-28,3,1,Traffic,0.9392110445096332
Africa,2012-06-25,2,0,Traffic,0.8981171208095897
Africa,2012-07-30,3,0,Weather,0.835686942495541
Africa,2012-08-27,4,0,None,0.9614364287071194
Africa,2012-10-01,1,0,Traffic,0.921414419024819
Africa,2012-10-29,4,1,Strike,0.9717242625838269
Africa,2012-11-26,3,0,Weather,0.9140475579867968
Africa,2012-01-02,1,0,None,0.8485406231626127
Africa,2012-04-02,3,0,None,0.9428458519058454
Africa,2012-07-02,3,1,Traffic,0.8760782004632895
Africa,2012-09-03,3,0,Traffic,0.8658897081916177
Africa,2012-12-03,0,0,Strike,0.9656152623419717
Africa,2012-06-04,0,0,Traffic,0.8171882666839564
Africa,2012-03-05,4,0,Strike,0.8082553360665274
Africa,2012-11-05,2,0,Strike,0.8667275114536915
Africa,2012-02-06,3,0,Strike,0.9626187429803272
Africa,2012-08-06,4,0,Traffic,0.9457428926364074
Africa,2012-05-07,2,0,None,0.948666247820237
Africa,2012-10-08,0,0,Strike,0.8045162146472444
Africa,2012-01-09,2,0,Weather,0.844959320849794
Africa,2012-04-09,1,0,Strike,0.8292354996639995
Africa,2012-07-09,4,0,Strike,0.9833410394638072
Africa,2012-09-10,0,0,Strike,0.9798132652450309
Africa,2012-12-10,2,1,Traffic,0.859431132869948
Africa,2012-06-11,0,0,None,0.8830358651459566
Africa,2012-03-12,4,0,Weather,0.9864862467433342
Africa,2012-11-12,1,0,None,0.925827633194179
Africa,2012-12-31,3,0,Traffic,0.8639637041313276
Africa,2013-01-28,0,1,Traffic,0.9834301976987267
Africa,2013-02-25,3,0,Strike,0.8378705782048844
Africa,2013-04-01,3,0,Strike,0.8262846604888776
Africa,2013-04-29,0,0,Strike,0.8992852762694793
Africa,2013-05-27,2,0,None,0.9000097694234589
Africa,2013-07-01,2,0,Weather,0.8317615482155705
Africa,2013-07-29,4,0,Weather,0.8580749459379996
Africa,2013-08-26,1,1,None,0.849602175730731
Africa,2013-09-30,0,0,Weather,0.83891431679762
Africa,2013-10-28,4,0,Traffic,0.8645441083831715
Africa,2013-11-25,1,0,None,0.9040114121113197
Africa,2013-09-02,3,0,Traffic,0.8532538080443125
Africa,2013-12-02,2,0,Traffic,0.8675076283395275
Africa,2013-06-03,1,0,None,0.8426511091384695
Africa,2013-02-04,0,0,None,0.9142402862594287
Africa,2013-03-04,0,0,None,0.8983891201223831
Africa,2013-11-04,4,1,None,0.9267050370391923
Africa,2013-08-05,1,0,Weather,0.8463558671591652
Africa,2013-05-06,1,0,Weather,0.8321038195966824
Africa,2013-01-07,0,0,Weather,0.9608018738770762
Africa,2013-10-07,1,0,None,0.9827318732869775
Africa,2013-04-08,4,0,Weather,0.977993991067878
Africa,2013-07-08,1,0,None,0.8538158866181567
Africa,2013-09-09,2,0,None,0.8289064240932538
Africa,2013-12-09,3,1,Strike,0.9911728307928108
Africa,2013-06-10,2,0,None,0.9161836260378239
Africa,2013-02-11,2,1,Strike,0.9598853945095751
Africa,2013-11-11,1,0,Strike,0.8809699715979871
Africa,2013-03-11,3,0,Traffic,0.810948568712954
Africa,2013-08-12,3,0,Traffic,0.9850277544670778
Africa,2013-12-30,4,0,None,0.8275871132248785
Africa,2014-01-27,3,1,Strike,0.868846369289809
Africa,2014-02-24,4,0,None,0.9913707103439039
Africa,2014-03-31,2,0,Strike,0.8663696834121464
Africa,2014-04-28,2,0,Traffic,0.9122651984083238
Africa,2014-05-26,2,1,None,0.9277662054652688
Africa,2014-06-30,1,0,Strike,0.9776022667171176
Africa,2014-07-28,3,0,None,0.8881180355786681
Africa,2014-09-01,3,0,Weather,0.8259425036650524
Africa,2014-09-29,3,0,Strike,0.8045163725518867
Africa,2014-10-27,4,1,Traffic,0.862577358641049
Africa,2014-12-01,0,0,Traffic,0.8521252857663345
Africa,2014-06-02,1,0,Strike,0.8391122119202127
Africa,2014-02-03,1,1,Weather,0.8016046985490343
Africa,2014-03-03,4,1,None,0.9331497119592536
Africa,2014-11-03,3,0,Traffic,0.9754331584676511
Africa,2014-08-04,2,0,Strike,0.9221396256151204
Africa,2014-05-05,4,0,Weather,0.8071679962042932
Africa,2014-01-06,4,0,Strike,0.887991144507083
Africa,2014-10-06,4,0,Weather,0.823652774015636
Africa,2014-04-07,1,0,None,0.8218231918458624
Africa,2014-07-07,2,0,None,0.8720062601952334
Africa,2014-09-08,2,0,Weather,0.8193323316271336
Africa,2014-12-08,0,1,None,0.880884592422684
Africa,2014-06-09,2,1,None,0.9043757880056267
Africa,2014-02-10,3,0,Strike,0.8970368123356123
Africa,2014-03-10,4,0,Weather,0.8860474608953814
Africa,2014-11-10,1,0,Traffic,0.9210397743834825
Africa,2014-08-11,2,1,None,0.97286732815621
Africa,2014-05-12,3,0,Traffic,0.8925964467330499
